'IFC01', 'Título Profesional Básico en Informática de Oficina', 2000, 'IFC', 'CFGB'
'IFC02', 'Título Profesional Básico en Informática y Comunicaciones', 2000, 'IFC', 'CFGB'
'IFC03', 'Técnico en Sistemas Microinformáticos y Redes', 2000, 'IFC', 'CFGM'
'IFC04', 'Técnico Superior en Administración de Sistemas Informáticos en Red', 2000, 'IFC', 'CFGS'
'IFC05', 'Técnico Superior en Desarrollo de Aplicaciones Multiplataforma', 2000, 'IFC', 'CFGS'
'IFC06', 'Técnico Superior en Desarrollo de Aplicaciones Web', 2000, 'IFC', 'CFGS'
'IFC07', 'Curso de Especialización en Inteligencia Artificial y Big Data (Acceso GS)', 400, 'IFC', 'CE'
'IFC08', 'Curso de Especialización en Ciberseguridad en Entornos de las Tecnologías de la Información (Acceso GS)', 400, 'IFC', 'CE'
'IFC09', 'Curso de Especialización en Desarrollo de videojuegos y realidad virtual (Acceso GS)', 400, 'IFC', 'CE'
'SAN01', 'Técnico Superior en Radioterapia y Dosimetría,2000,'SAN', 'CFGS'
'SAN02', 'Técnico en Farmacia y Parafarmacia',2000,'SAN', 'CFGM'
